電力会社,氏名,役職(2007),役職(2008),役職(2009),役職(2010),役職(2011),万円(2007),万円(2008),万円(2009),万円(2010),万円(2011)
東北電力,大山　正征,副社長,副社長,N/A,N/A,N/A,25,25,N/A,N/A,N/A
東北電力,齋藤　茂雄,副社長,N/A,N/A,N/A,N/A,25,N/A,N/A,N/A,N/A
東北電力,前川　文章,常務取締役,N/A,N/A,N/A,N/A,20,N/A,N/A,10,N/A
東北電力,鈴木　満,常務取締役,副社長,N/A,N/A,N/A,20,25,N/A,N/A,N/A
東北電力,遠藤　幸雄,常務取締役,常務取締役,N/A,N/A,N/A,20,20,N/A,N/A,N/A
東北電力,児玉　治正,常務取締役,常務取締役,副社長,N/A,N/A,20,20,15,N/A,N/A
東北電力,渡部　和則,常務取締役,常務取締役,N/A,N/A,N/A,20,20,N/A,N/A,N/A
東北電力,佐々木　恭之助,取締役,取締役,N/A,N/A,N/A,25,25,N/A,N/A,N/A
東北電力,岸　壽也,取締役,常務取締役,常務取締役,常務取締役,N/A,12,20,10,10,N/A
東北電力,安倍　宣昭,取締役,常務取締役,副社長,副社長,副社長,12,20,15,15,N/A
東北電力,早坂　栄二,取締役,取締役,常務取締役,常務取締役,N/A,12,12,10,10,N/A
東北電力,矢萩　保雄,取締役,取締役,N/A,N/A,常務取締役,12,12,N/A,N/A,N/A
東北電力,梅田　健夫,N/A,取締役,副社長,副社長,副社長,N/A,12,15,15,N/A
東北電力,森下　和夫,N/A,取締役,常務取締役,常務取締役,常務取締役,N/A,12,10,10,N/A
東北電力,海輪　誠,N/A,N/A,副社長,社長,社長,N/A,N/A,15,20,N/A
東北電力,宇部　文雄,N/A,N/A,常務取締役,副社長,副社長,N/A,N/A,10,15,N/A
東北電力,加藤　博,N/A,N/A,常務取締役,副社長,副社長,N/A,N/A,10,15,N/A
東北電力,鈴木　敏仁,N/A,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,10,10,N/A
